Unnamed: 0,Hauptdiagnose,Ausland-unbekannt-ohne Angabe,Population,Demand_per_1000
165,D13,23,1389.0,16.55867530597552
166,D14,10,974.0,10.266940451745379
167,D15,5,180.0,27.777777777777775
168,D16,28,576.0,48.611111111111114
169,D17,48,1728.0,27.777777777777775
170,D18,45,1246.0,36.115569823434996
171,D20,1,40.0,25.0
172,D21,15,474.0,31.645569620253166
173,D22,6,333.0,18.01801801801802
174,D23,4,475.0,8.421052631578947
175,D24,17,1102.0,15.426497277676951
176,D25,131,5686.0,23.03904326415758
177,D26,1,41.0,24.390243902439025
178,D27,61,3706.0,16.45979492714517
179,D28,4,182.0,21.978021978021978
180,D29,3,164.0,18.29268292682927
181,D30,19,796.0,23.86934673366834
182,D31,5,124.0,40.32258064516129
183,D32,43,1417.0,30.345800988002825
184,D33,32,693.0,46.17604617604618
185,D34,5,222.0,22.52252252252252
186,D35,38,945.0,40.211640211640216
187,D36,18,563.0,31.97158081705151
188,D37,55,3994.0,13.770655983975965
189,D38,53,3842.0,13.794898490369599
190,D39,10,618.0,16.181229773462782
191,D40,5,299.0,16.72240802675585
192,D41,13,1162.0,11.18760757314974
193,D42,2,87.0,22.988505747126435
194,D43,41,992.0,41.33064516129032
195,D44,6,358.0,16.75977653631285
196,D45,1,72.0,13.888888888888888
197,D46,25,2145.0,11.655011655011656
198,D47,14,896.0,15.625
199,D48,32,1582.0,20.2275600505689
200,D50,98,7692.0,12.740509620384815
201,D51,7,462.0,15.151515151515152
202,D52,1,336.0,2.976190476190476
203,D53,1,126.0,7.936507936507936
204,D56,9,128.0,70.3125
205,D57,12,61.0,196.72131147540983
206,D58,3,70.0,42.857142857142854
207,D59,10,399.0,25.062656641604008
208,D60,2,24.0,83.33333333333333
209,D61,20,1407.0,14.214641080312722
210,D62,9,689.0,13.062409288824384
211,D64,25,3757.0,6.654245408570668
212,D66,1,24.0,41.666666666666664
213,D68,11,475.0,23.157894736842106
214,D69,27,1462.0,18.467852257181942
215,D70,11,768.0,14.322916666666666
216,D71,11,11.0,1000.0
217,D73,6,194.0,30.927835051546392
218,D76,2,64.0,31.25
219,D81,4,14.0,285.7142857142857
220,D82,1,18.0,55.55555555555555
221,D84,1,47.0,21.27659574468085
222,D86,25,1703.0,14.679976512037582
223,E03,4,190.0,21.052631578947366
224,E04,84,7005.0,11.991434689507495
225,E05,65,4462.0,14.567458538771852
226,E06,8,334.0,23.952095808383234
227,E10,199,5341.0,37.25894027335705
228,E11,318,25960.0,12.249614791987675
229,E13,19,1037.0,18.32208293153327
230,E14,2,49.0,40.816326530612244
231,E15,1,33.0,30.303030303030305
232,E16,14,302.0,46.35761589403974
233,E20,1,12.0,83.33333333333333
234,E21,10,534.0,18.726591760299627
235,E22,7,407.0,17.1990171990172
236,E23,4,211.0,18.95734597156398
237,E24,5,93.0,53.763440860215056
238,E26,5,230.0,21.73913043478261
239,E27,11,302.0,36.42384105960265
240,E28,3,39.0,76.92307692307693
241,E31,1,5.0,200.0
242,E32,2,24.0,83.33333333333333
243,E34,2,106.0,18.867924528301884
244,E41,1,35.0,28.57142857142857
245,E46,2,76.0,26.31578947368421
246,E51,6,273.0,21.978021978021978
247,E55,1,26.0,38.46153846153847
248,E58,1,5.0,200.0
249,E66,46,3647.0,12.613106663010694
250,E67,1,14.0,71.42857142857143
251,E71,1,43.0,23.25581395348837
252,E74,3,205.0,14.634146341463415
253,E75,4,158.0,25.31645569620253
254,E76,1,28.0,35.714285714285715
255,E78,2,141.0,14.184397163120567
256,E80,3,89.0,33.70786516853933
257,E83,7,468.0,14.957264957264957
258,E84,12,456.0,26.31578947368421
259,E85,5,312.0,16.025641025641026
260,E86,221,20183.0,10.949809245404548
261,E87,109,6168.0,17.671854734111545
262,E88,9,499.0,18.03607214428858
263,E89,3,76.0,39.473684210526315
264,F01,5,560.0,8.928571428571429
265,F03,6,809.0,7.416563658838072
266,F05,34,2519.0,13.497419610956728
267,F06,10,792.0,12.626262626262626
268,F07,4,105.0,38.0952380952381
269,F10,1721,12846.0,133.97166433130937
270,F11,28,238.0,117.6470588235294
271,F12,10,373.0,26.80965147453083
272,F13,22,212.0,103.77358490566039
273,F14,16,34.0,470.5882352941176
274,F15,24,420.0,57.14285714285714
275,F16,3,44.0,68.18181818181817
276,F17,1,11.0,90.9090909090909
277,F18,2,9.0,222.2222222222222
278,F19,171,923.0,185.26543878656554
279,F20,13,111.0,117.11711711711712
280,F22,7,76.0,92.10526315789473
281,F23,11,102.0,107.84313725490196
282,F28,1,6.0,166.66666666666666
283,F29,3,36.0,83.33333333333333
284,F31,3,34.0,88.23529411764706
285,F32,24,937.0,25.6136606189968
286,F33,3,288.0,10.416666666666666
287,F38,1,1.0,1000.0
288,F40,1,91.0,10.989010989010989
289,F41,42,1336.0,31.437125748502993
290,F43,32,811.0,39.457459926017265
291,F44,69,1038.0,66.47398843930635
292,F45,94,5594.0,16.803718269574546
293,F48,4,104.0,38.46153846153847
294,F50,9,614.0,14.657980456026058
295,F51,6,207.0,28.985507246376812
296,F54,2,7.0,285.7142857142857
297,F55,1,19.0,52.63157894736842
298,F60,5,70.0,71.42857142857143
299,F64,73,578.0,126.29757785467127
300,F66,1,,
301,F69,1,13.0,76.92307692307693
302,F80,2,150.0,13.333333333333334
303,F83,8,516.0,15.503875968992247
304,F84,3,108.0,27.777777777777775
305,F89,1,60.0,16.666666666666668
306,F90,2,267.0,7.49063670411985
307,F91,3,125.0,24.0
308,F92,1,78.0,12.82051282051282
309,F93,2,99.0,20.202020202020204
310,F94,8,14.0,571.4285714285714
311,F95,4,125.0,32.0
312,F98,10,223.0,44.84304932735426
313,G00,14,137.0,102.18978102189782
314,G03,16,227.0,70.48458149779736
315,G04,28,1350.0,20.74074074074074
316,G06,15,560.0,26.785714285714285
317,G08,3,68.0,44.11764705882353
318,G10,1,88.0,11.363636363636363
319,G11,7,141.0,49.64539007092199
320,G12,24,1372.0,17.49271137026239
321,G20,83,7150.0,11.608391608391608
322,G21,5,431.0,11.600928074245939
323,G23,11,744.0,14.78494623655914
324,G24,6,317.0,18.92744479495268
325,G25,15,1329.0,11.286681715575622
326,G30,11,1241.0,8.8638195004029
327,G31,9,578.0,15.570934256055363
328,G35,71,5151.0,13.783731314307902
329,G37,16,345.0,46.3768115942029
330,G40,868,21462.0,40.44357469015003
331,G41,65,2215.0,29.345372460496616
332,G43,147,3933.0,37.376048817696415
333,G44,69,2240.0,30.80357142857143
334,G45,428,14174.0,30.196133766050515
335,G47,121,5826.0,20.768966700995534
336,G50,11,726.0,15.151515151515152
337,G51,90,2800.0,32.14285714285714
338,G52,3,114.0,26.31578947368421
339,G54,14,601.0,23.29450915141431
340,G56,35,1496.0,23.39572192513369
341,G57,15,725.0,20.689655172413794
342,G58,25,1208.0,20.695364238410598
343,G60,3,99.0,30.303030303030305
