Unnamed: 0,Satzart,Gebietsstand,Regionalschlüssel,Gemeinde,Leer,latitude,longitude
305,40.0,20211231.0,9762,Kaufbeuren,Kaufbeuren,47.8803788,10.622246
306,40.0,20211231.0,9763,Kempten (Allgäu),Kempten (Allgäu),47.7267063,10.3168835
307,40.0,20211231.0,9764,Memmingen,Memmingen,47.9863099,10.1808016
308,40.0,20211231.0,9771,Aichach-Friedberg,Aichach,48.4335,11.0772281
309,40.0,20211231.0,9772,"Augsburg, Kreis",Augsburg,54.5033271,9.1026652
310,40.0,20211231.0,9773,Dillingen a.d.Donau,Dillingen a.d.Donau,48.577185,10.4943532
311,40.0,20211231.0,9774,Günzburg,Günzburg,48.4555244,10.2766213
312,40.0,20211231.0,9775,Neu-Ulm,Neu-Ulm,48.3953489,10.0005211
313,40.0,20211231.0,9776,Lindau (Bodensee),Lindau (Bodensee),47.550753,9.6926624
314,40.0,20211231.0,9777,Ostallgäu,Marktoberdorf,47.8025889,10.6259267
315,40.0,20211231.0,9778,Unterallgäu,Mindelheim,48.033975,10.35
316,40.0,20211231.0,9779,Donau-Ries,Donauwörth,48.8148705,10.69735
317,40.0,20211231.0,9780,Oberallgäu,Sonthofen,47.6130964,10.270825
318,40.0,20211231.0,10041,Regionalverband Saarbrücken,"Saarbrücken, Landeshauptstadt",49.2447573,6.9716629
319,40.0,20211231.0,10042,Merzig-Wadern,"Merzig, Kreisstadt",49.4926094,6.6336942
320,40.0,20211231.0,10043,Neunkirchen,Ottweiler,50.5456179,8.1025344
321,40.0,20211231.0,10044,Saarlouis,"Saarlouis, Kreisstadt",49.3164661,6.749846
322,40.0,20211231.0,10045,Saarpfalz-Kreis,"Homburg, Kreisstadt",49.2613761,7.1982316
323,40.0,20211231.0,10046,St. Wendel,"St. Wendel, Kreisstadt",49.466972,7.1653135
324,40.0,20211231.0,11000,"Berlin, Stadt",Berlin,53.8512594,10.6824811
325,,,11001,Berlin-Mitte,,52.5089935,13.375663
326,,,11002,Berlin-Friedrichshain-Kreuzberg,,52.4880036,13.4089223
327,,,11003,Berlin-Pankow,,52.5780653,13.4295093
328,,,11004,Berlin-Charlottenburg-Wilmersdorf,,52.503379,13.3386522
329,,,11005,Berlin-Spandau,,52.5347694,13.1956287
330,,,11006,Berlin-Steglitz-Zehlendorf,,52.4295894,13.2420202
331,,,11007,Berlin-Tempelhof-Schöneberg,,52.4404422,13.3883088
332,,,11008,Berlin-Neukölln,,52.4454318,13.4434598
