Unnamed: 0,Satzart,Gebietsstand,Regionalschlüssel,Gemeinde,Leer,latitude,longitude
124,40.0,20211231.0,6435,Main-Kinzig-Kreis,Gelnhausen,50.2119793,9.1521552
125,40.0,20211231.0,6436,Main-Taunus-Kreis,Hofheim a. T.,50.099575,8.4264122
126,40.0,20211231.0,6437,Odenwaldkreis,Erbach,49.6634191,8.9663284
127,40.0,20211231.0,6438,"Offenbach, Kreis",Dietzenbach,50.6979989,8.4152269
128,40.0,20211231.0,6439,Rheingau-Taunus-Kreis,Bad Schwalbach,50.1339394,8.0701591
129,40.0,20211231.0,6440,Wetteraukreis,Friedberg (Hessen),50.3310534,8.9338049
130,40.0,20211231.0,6531,Gießen,Gießen,50.5808795,8.6938161
131,40.0,20211231.0,6532,Lahn-Dill-Kreis,Wetzlar,50.5602034,8.5002222
132,40.0,20211231.0,6533,Limburg-Weilburg,Limburg a.d.Lahn,50.4411601,8.1577966
133,40.0,20211231.0,6534,Marburg-Biedenkopf,Marburg,50.8330156,8.7332066
134,40.0,20211231.0,6535,Vogelsbergkreis,Lauterbach,50.6412263,9.258772
135,40.0,20211231.0,6611,"Kassel, documenta-Stadt",Kassel,,
136,40.0,20211231.0,6631,Fulda,Fulda,50.5542328,9.6770448
137,40.0,20211231.0,6632,Hersfeld-Rotenburg,Bad Hersfeld,50.9326685,9.7392113
138,40.0,20211231.0,6633,"Kassel, Kreis",Kassel,50.2072683,9.2791463
139,40.0,20211231.0,6634,Schwalm-Eder-Kreis,Homberg (Efze),51.0152435,9.3270844
140,40.0,20211231.0,6635,Waldeck-Frankenberg,Korbach,51.14348,8.8660519
141,40.0,20211231.0,6636,Werra-Meißner-Kreis,Eschwege,51.2064861,9.8919181
142,40.0,20211231.0,7111,"Koblenz, kreisfreie Stadt",Koblenz,,
143,40.0,20211231.0,7131,Ahrweiler,Bad Neuenahr-Ahrweiler,50.4365274,7.0050227
144,40.0,20211231.0,7132,Altenkirchen (Westerwald),Altenkirchen (Westerwald),50.6880109,7.6477412
145,40.0,20211231.0,7133,Bad Kreuznach,Bad Kreuznach,49.8490413,7.8626661
146,40.0,20211231.0,7134,Birkenfeld,Birkenfeld,49.6488236,7.1647477
147,40.0,20211231.0,7135,Cochem-Zell,Cochem,50.1410231,7.1894684
148,40.0,20211231.0,7137,Mayen-Koblenz,Koblenz,50.3023567,7.3735478
149,40.0,20211231.0,7138,Neuwied,Neuwied,50.4302393,7.466302
150,40.0,20211231.0,7140,Rhein-Hunsrück-Kreis,Simmern/Hunsrück,50.0215164,7.4890547
151,40.0,20211231.0,7141,Rhein-Lahn-Kreis,Bad Ems,50.2649233,7.8606742
152,40.0,20211231.0,7143,Westerwaldkreis,Montabaur,50.5568937,7.8657066
153,40.0,20211231.0,7211,"Trier, kreisfreie Stadt",Trier,,
154,40.0,20211231.0,7231,Bernkastel-Wittlich,Wittlich,49.9294731,6.9384263
155,40.0,20211231.0,7232,Eifelkreis Bitburg-Prüm,Bitburg,50.0375377,6.3976527
156,40.0,20211231.0,7233,Vulkaneifel,Daun,50.2127575,6.8278962
157,40.0,20211231.0,7235,Trier-Saarburg,Trier,49.71724,6.8431834
158,40.0,20211231.0,7311,"Frankenthal (Pfalz), kreisfreie Stadt",Frankenthal (Pfalz),,
159,40.0,20211231.0,7312,"Kaiserslautern, kreisfreie Stadt",Kaiserslautern,50.8416727,12.9264137
160,40.0,20211231.0,7313,"Landau in der Pfalz, kreisfreie Stadt",Landau in der Pfalz,,
161,40.0,20211231.0,7314,"Ludwigshafen am Rhein, kreisfreie Stadt",Ludwigshafen am Rhein,,
162,40.0,20211231.0,7315,"Mainz, kreisfreie Stadt",Mainz,,
163,40.0,20211231.0,7316,"Neustadt an der Weinstraße, kreisfreie Stadt",Neustadt an der Weinstraße,,
164,40.0,20211231.0,7317,"Pirmasens, kreisfreie Stadt",Pirmasens,,
165,40.0,20211231.0,7318,"Speyer, kreisfreie Stadt",Speyer,,
166,40.0,20211231.0,7319,"Worms, kreisfreie Stadt",Worms,51.0481624,13.7789306
167,40.0,20211231.0,7320,"Zweibrücken, kreisfreie Stadt",Zweibrücken,,
168,40.0,20211231.0,7331,Alzey-Worms,Alzey,49.7543078,8.1422038
169,40.0,20211231.0,7332,Bad Dürkheim,Bad Dürkheim,49.4632944,8.1705063
170,40.0,20211231.0,7333,Donnersbergkreis,Kirchheimbolanden,49.639283,7.9104292
171,40.0,20211231.0,7334,Germersheim,Germersheim,49.2222749,8.36659
172,40.0,20211231.0,7335,Kaiserslautern (Kreis),Kaiserslautern,,
173,40.0,20211231.0,7336,Kusel,Kusel,49.5399844,7.4008479
174,40.0,20211231.0,7337,Südliche Weinstraße,Landau in der Pfalz,49.1848072,8.063071
175,40.0,20211231.0,7338,Rhein-Pfalz-Kreis,Ludwigshafen am Rhein,49.4294558,8.3140526
176,40.0,20211231.0,7339,Mainz-Bingen,Ingelheim am Rhein,49.9076453,8.1207846
177,40.0,20211231.0,7340,Südwestpfalz,Pirmasens,49.2225957,7.6196712
178,40.0,20211231.0,8111,"Stuttgart, Stadtkreis",Stuttgart,,
179,40.0,20211231.0,8115,Böblingen,Böblingen,48.684969,9.0113444
180,40.0,20211231.0,8116,Esslingen,Esslingen am Neckar,48.7427584,9.3071685
181,40.0,20211231.0,8117,Göppingen,Göppingen,48.7031377,9.6541116
182,40.0,20211231.0,8118,Ludwigsburg,Ludwigsburg,48.8953937,9.1895147
183,40.0,20211231.0,8119,Rems-Murr-Kreis,Waiblingen,48.8966799,9.5037124
184,40.0,20211231.0,8121,"Heilbronn, Stadtkreis",Heilbronn,,
185,40.0,20211231.0,8125,"Heilbronn, Kreis",Heilbronn,49.4720238,8.6581539
186,40.0,20211231.0,8126,Hohenlohekreis,Künzelsau,49.2633388,9.621973
187,40.0,20211231.0,8127,Schwäbisch Hall,Schwäbisch Hall,49.1123963,9.7369047
188,40.0,20211231.0,8128,Main-Tauber-Kreis,Tauberbischofsheim,49.5714135,9.6710459
189,40.0,20211231.0,8135,Heidenheim,Heidenheim an der Brenz,48.6767637,10.152923
190,40.0,20211231.0,8136,Ostalbkreis,Aalen,48.8876731,10.0992474
191,40.0,20211231.0,8211,"Baden-Baden, Stadtkreis",Baden-Baden,,
192,40.0,20211231.0,8212,"Karlsruhe, Stadtkreis",Karlsruhe,,
193,40.0,20211231.0,8215,"Karlsruhe, Kreis",Karlsruhe,50.1450314,7.4324134
194,40.0,20211231.0,8216,Rastatt,Rastatt,48.8574209,8.2088088
195,40.0,20211231.0,8221,"Heidelberg, Stadtkreis",Heidelberg,,
196,40.0,20211231.0,8222,"Mannheim, Stadtkreis",Mannheim,,
197,40.0,20211231.0,8225,Neckar-Odenwald-Kreis,Mosbach,49.4678557,9.2709386
198,40.0,20211231.0,8226,Rhein-Neckar-Kreis,Heidelberg,49.3999478,8.5655886
199,40.0,20211231.0,8231,"Pforzheim, Stadtkreis",Pforzheim,,
200,40.0,20211231.0,8235,Calw,Calw,48.7142691,8.7397624
201,40.0,20211231.0,8236,Enzkreis,Pforzheim,48.9182433,8.8432249
202,40.0,20211231.0,8237,Freudenstadt,Freudenstadt,48.4637727,8.4111727
203,40.0,20211231.0,8311,"Freiburg im Breisgau, Stadtkreis",Freiburg im Breisgau,,
204,40.0,20211231.0,8315,Breisgau-Hochschwarzwald,Freiburg im Breisgau,47.941164,7.8471664
205,40.0,20211231.0,8316,Emmendingen,Emmendingen,48.1224978,7.8653814
206,40.0,20211231.0,8317,Ortenaukreis,Offenburg,48.438552,8.0098457
207,40.0,20211231.0,8325,Rottweil,Rottweil,48.1678244,8.626979
208,40.0,20211231.0,8326,Schwarzwald-Baar-Kreis,Villingen-Schwenningen,47.9801796,8.4890803
209,40.0,20211231.0,8327,Tuttlingen,Tuttlingen,47.9844315,8.8186606
210,40.0,20211231.0,8335,Konstanz,Konstanz,47.659216,9.1750718
211,40.0,20211231.0,8336,Lörrach,Lörrach,47.6120896,7.6607218
212,40.0,20211231.0,8337,Waldshut,Waldshut-Tiengen,47.6246179,8.2120605
213,40.0,20211231.0,8415,Reutlingen,Reutlingen,48.4919508,9.2114144
214,40.0,20211231.0,8416,Tübingen,Tübingen,48.5203263,9.053596
215,40.0,20211231.0,8417,Zollernalbkreis,Balingen,48.2603682,8.9124498
216,40.0,20211231.0,8421,"Ulm, Stadtkreis",Ulm,,
217,40.0,20211231.0,8425,Alb-Donau-Kreis,Ulm,48.3869659,9.7286993
218,40.0,20211231.0,8426,Biberach,Biberach an der Riß,48.0984413,9.7899938
219,40.0,20211231.0,8435,Bodenseekreis,Friedrichshafen,47.7309856,9.3752367
220,40.0,20211231.0,8436,Ravensburg,Ravensburg,47.7811014,9.612468
221,40.0,20211231.0,8437,Sigmaringen,Sigmaringen,48.0855844,9.2178879
222,40.0,20211231.0,9161,Ingolstadt,Ingolstadt,48.7630165,11.4250395
223,40.0,20211231.0,9162,"München, Landeshauptstadt",München,,
224,40.0,20211231.0,9163,"Rosenheim, Stadt",Rosenheim,50.8564,13.0812517
225,40.0,20211231.0,9171,Altötting,Altötting,48.2268085,12.6757914
226,40.0,20211231.0,9172,Berchtesgadener Land,Bad Reichenhall,47.7494467,12.9216667
227,40.0,20211231.0,9173,Bad Tölz-Wolfratshausen,Bad Tölz,47.7825524,11.4873095
228,40.0,20211231.0,9174,Dachau,Dachau,48.2592477,11.4354419
229,40.0,20211231.0,9175,Ebersberg,Ebersberg,48.0782763,11.9694372
230,40.0,20211231.0,9176,Eichstätt,Eichstätt,48.8933417,11.1838965
231,40.0,20211231.0,9177,Erding,Erding,48.3064441,11.9076579
232,40.0,20211231.0,9178,Freising,Freising,48.4008273,11.7439565
233,40.0,20211231.0,9179,Fürstenfeldbruck,Fürstenfeldbruck,48.1794705,11.2547202
